Connected 96.0%, nodes: 100, density: 315, acv: 10.0%, degree: 9.8304, population: 30.0
Connected 100.0%, nodes: 100, density: 316, acv: 10.0%, degree: 10.2272, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 20.0%, degree: 19.9592, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 20.0%, degree: 15.092, population: 30.0
Connected 92.0%, nodes: 100, density: 80, acv: 20.0%, degree: 9.7144, population: 30.0
Connected 84.0%, nodes: 100, density: 81, acv: 20.0%, degree: 10.4416, population: 30.0
Connected 96.0%, nodes: 100, density: 119, acv: 20.0%, degree: 12.5416, population: 30.0
Connected 96.0%, nodes: 100, density: 120, acv: 20.0%, degree: 13.2456, population: 30.0
Connected 100.0%, nodes: 100, density: 138, acv: 20.0%, degree: 13.6896, population: 30.0
Connected 100.0%, nodes: 100, density: 128, acv: 20.0%, degree: 13.396, population: 30.0
Connected 100.0%, nodes: 100, density: 123, acv: 20.0%, degree: 12.9288, population: 30.0
Connected 100.0%, nodes: 100, density: 121, acv: 20.0%, degree: 12.9528, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 30.0%, degree: 28.9408, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 30.0%, degree: 22.3608, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 30.0%, degree: 15.18, population: 30.0
Connected 80.0%, nodes: 100, density: 41, acv: 30.0%, degree: 8.7624, population: 30.0
Connected 84.0%, nodes: 100, density: 42, acv: 30.0%, degree: 8.984, population: 30.0
Connected 88.0%, nodes: 100, density: 60, acv: 30.0%, degree: 12.0936, population: 30.0
Connected 96.0%, nodes: 100, density: 61, acv: 30.0%, degree: 12.0608, population: 30.0
Connected 96.0%, nodes: 100, density: 70, acv: 30.0%, degree: 13.1704, population: 30.0
Connected 100.0%, nodes: 100, density: 71, acv: 30.0%, degree: 13.5832, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 40.0%, degree: 38.976, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 40.0%, degree: 29.7848, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 40.0%, degree: 19.3128, population: 30.0
Connected 100.0%, nodes: 100, density: 41, acv: 40.0%, degree: 11.9864, population: 30.0
Connected 44.0%, nodes: 100, density: 21, acv: 40.0%, degree: 6.9512, population: 30.0
Connected 60.0%, nodes: 100, density: 22, acv: 40.0%, degree: 7.0088, population: 30.0
Connected 76.0%, nodes: 100, density: 31, acv: 40.0%, degree: 9.3072, population: 30.0
Connected 96.0%, nodes: 100, density: 32, acv: 40.0%, degree: 9.6456, population: 30.0
Connected 100.0%, nodes: 100, density: 36, acv: 40.0%, degree: 10.3952, population: 30.0
Connected 76.0%, nodes: 100, density: 33, acv: 40.0%, degree: 9.8424, population: 30.0
Connected 84.0%, nodes: 100, density: 34, acv: 40.0%, degree: 9.9664, population: 30.0
Connected 88.0%, nodes: 100, density: 35, acv: 40.0%, degree: 10.564, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 50.0%, degree: 48.5096, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 50.0%, degree: 37.1408, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 50.0%, degree: 24.5904, population: 30.0
Connected 100.0%, nodes: 100, density: 41, acv: 50.0%, degree: 14.5808, population: 30.0
Connected 84.0%, nodes: 100, density: 21, acv: 50.0%, degree: 8.276, population: 30.0
Connected 84.0%, nodes: 100, density: 22, acv: 50.0%, degree: 8.5688, population: 30.0
Connected 100.0%, nodes: 100, density: 31, acv: 50.0%, degree: 11.7256, population: 30.0
Connected 92.0%, nodes: 100, density: 26, acv: 50.0%, degree: 9.8888, population: 30.0
Connected 84.0%, nodes: 100, density: 27, acv: 50.0%, degree: 10.3944, population: 30.0
Connected 96.0%, nodes: 100, density: 28, acv: 50.0%, degree: 10.4864, population: 30.0
Connected 96.0%, nodes: 100, density: 29, acv: 50.0%, degree: 11.2432, population: 30.0
Connected 96.0%, nodes: 100, density: 30, acv: 50.0%, degree: 11.1704, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 60.0%, degree: 57.7544, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 60.0%, degree: 45.3896, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 60.0%, degree: 29.3776, population: 30.0
Connected 100.0%, nodes: 100, density: 41, acv: 60.0%, degree: 17.5088, population: 30.0
Connected 88.0%, nodes: 100, density: 21, acv: 60.0%, degree: 9.9704, population: 30.0
Connected 92.0%, nodes: 100, density: 22, acv: 60.0%, degree: 10.2, population: 30.0
Connected 100.0%, nodes: 100, density: 31, acv: 60.0%, degree: 13.9512, population: 30.0
Connected 100.0%, nodes: 100, density: 26, acv: 60.0%, degree: 11.8184, population: 30.0
Connected 100.0%, nodes: 100, density: 23, acv: 60.0%, degree: 10.84, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 70.0%, degree: 67.7496, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 70.0%, degree: 52.7488, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 70.0%, degree: 34.36, population: 30.0
Connected 100.0%, nodes: 100, density: 41, acv: 70.0%, degree: 19.8904, population: 30.0
Connected 100.0%, nodes: 100, density: 21, acv: 70.0%, degree: 11.6728, population: 30.0
Connected 64.0%, nodes: 100, density: 11, acv: 70.0%, degree: 6.728, population: 30.0
Connected 72.0%, nodes: 100, density: 12, acv: 70.0%, degree: 7.2064, population: 30.0
Connected 84.0%, nodes: 100, density: 16, acv: 70.0%, degree: 8.9384, population: 30.0
Connected 92.0%, nodes: 100, density: 17, acv: 70.0%, degree: 9.6784, population: 30.0
Connected 100.0%, nodes: 100, density: 18, acv: 70.0%, degree: 10.3392, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 80.0%, degree: 77.6968, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 80.0%, degree: 59.3064, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 80.0%, degree: 39.0504, population: 30.0
Connected 100.0%, nodes: 100, density: 41, acv: 80.0%, degree: 22.8552, population: 30.0
Connected 100.0%, nodes: 100, density: 21, acv: 80.0%, degree: 13.2568, population: 30.0
Connected 84.0%, nodes: 100, density: 11, acv: 80.0%, degree: 7.6608, population: 30.0
Connected 84.0%, nodes: 100, density: 12, acv: 80.0%, degree: 8.1368, population: 30.0
Connected 80.0%, nodes: 100, density: 16, acv: 80.0%, degree: 10.2656, population: 30.0
Connected 100.0%, nodes: 100, density: 17, acv: 80.0%, degree: 10.948, population: 30.0
Connected 100.0%, nodes: 100, density: 315, acv: 90.0%, degree: 86.608, population: 30.0
Connected 100.0%, nodes: 100, density: 158, acv: 90.0%, degree: 67.2688, population: 30.0
Connected 100.0%, nodes: 100, density: 80, acv: 90.0%, degree: 42.8712, population: 30.0
