Connected 84.0%, nodes: 100, density: 315, acv: 10.0%, degree: 9.792, population: 80.0
Connected 100.0%, nodes: 100, density: 316, acv: 10.0%, degree: 10.2896, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 20.0%, degree: 20.1192, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 20.0%, degree: 15.1864, population: 80.0
Connected 84.0%, nodes: 100, density: 80, acv: 20.0%, degree: 10.5584, population: 80.0
Connected 84.0%, nodes: 100, density: 81, acv: 20.0%, degree: 10.2832, population: 80.0
Connected 96.0%, nodes: 100, density: 119, acv: 20.0%, degree: 13.2912, population: 80.0
Connected 100.0%, nodes: 100, density: 120, acv: 20.0%, degree: 13.84, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 30.0%, degree: 28.752, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 30.0%, degree: 22.9696, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 30.0%, degree: 14.9128, population: 80.0
Connected 76.0%, nodes: 100, density: 41, acv: 30.0%, degree: 8.9192, population: 80.0
Connected 56.0%, nodes: 100, density: 42, acv: 30.0%, degree: 9.3984, population: 80.0
Connected 92.0%, nodes: 100, density: 60, acv: 30.0%, degree: 12.6296, population: 80.0
Connected 92.0%, nodes: 100, density: 61, acv: 30.0%, degree: 12.3392, population: 80.0
Connected 100.0%, nodes: 100, density: 70, acv: 30.0%, degree: 13.5464, population: 80.0
Connected 100.0%, nodes: 100, density: 65, acv: 30.0%, degree: 12.3488, population: 80.0
Connected 96.0%, nodes: 100, density: 62, acv: 30.0%, degree: 12.6, population: 80.0
Connected 100.0%, nodes: 100, density: 63, acv: 30.0%, degree: 12.6008, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 40.0%, degree: 40.0456, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 40.0%, degree: 30.2624, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 40.0%, degree: 19.3456, population: 80.0
Connected 80.0%, nodes: 100, density: 41, acv: 40.0%, degree: 11.8952, population: 80.0
Connected 92.0%, nodes: 100, density: 42, acv: 40.0%, degree: 12.076, population: 80.0
Connected 100.0%, nodes: 100, density: 60, acv: 40.0%, degree: 16.7136, population: 80.0
Connected 100.0%, nodes: 100, density: 50, acv: 40.0%, degree: 13.8384, population: 80.0
Connected 84.0%, nodes: 100, density: 45, acv: 40.0%, degree: 12.3192, population: 80.0
Connected 100.0%, nodes: 100, density: 46, acv: 40.0%, degree: 13.4288, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 50.0%, degree: 49.7848, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 50.0%, degree: 37.492, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 50.0%, degree: 24.0568, population: 80.0
Connected 100.0%, nodes: 100, density: 41, acv: 50.0%, degree: 14.8408, population: 80.0
Connected 64.0%, nodes: 100, density: 21, acv: 50.0%, degree: 8.7096, population: 80.0
Connected 88.0%, nodes: 100, density: 22, acv: 50.0%, degree: 9.1888, population: 80.0
Connected 100.0%, nodes: 100, density: 31, acv: 50.0%, degree: 11.9224, population: 80.0
Connected 84.0%, nodes: 100, density: 26, acv: 50.0%, degree: 10.1384, population: 80.0
Connected 68.0%, nodes: 100, density: 27, acv: 50.0%, degree: 10.6816, population: 80.0
Connected 88.0%, nodes: 100, density: 28, acv: 50.0%, degree: 10.776, population: 80.0
Connected 96.0%, nodes: 100, density: 29, acv: 50.0%, degree: 11.1192, population: 80.0
Connected 96.0%, nodes: 100, density: 30, acv: 50.0%, degree: 11.576, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 60.0%, degree: 58.2944, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 60.0%, degree: 44.9504, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 60.0%, degree: 29.1616, population: 80.0
Connected 100.0%, nodes: 100, density: 41, acv: 60.0%, degree: 17.16, population: 80.0
Connected 84.0%, nodes: 100, density: 21, acv: 60.0%, degree: 10.1936, population: 80.0
Connected 96.0%, nodes: 100, density: 22, acv: 60.0%, degree: 10.2608, population: 80.0
Connected 100.0%, nodes: 100, density: 31, acv: 60.0%, degree: 13.8096, population: 80.0
Connected 96.0%, nodes: 100, density: 26, acv: 60.0%, degree: 12.0848, population: 80.0
Connected 100.0%, nodes: 100, density: 27, acv: 60.0%, degree: 12.8088, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 70.0%, degree: 67.9016, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 70.0%, degree: 53.232, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 70.0%, degree: 32.9816, population: 80.0
Connected 100.0%, nodes: 100, density: 41, acv: 70.0%, degree: 20.5648, population: 80.0
Connected 92.0%, nodes: 100, density: 21, acv: 70.0%, degree: 11.7528, population: 80.0
Connected 100.0%, nodes: 100, density: 22, acv: 70.0%, degree: 12.5896, population: 80.0
Connected 100.0%, nodes: 100, density: 315, acv: 80.0%, degree: 77.3056, population: 80.0
Connected 100.0%, nodes: 100, density: 158, acv: 80.0%, degree: 60.4712, population: 80.0
Connected 100.0%, nodes: 100, density: 80, acv: 80.0%, degree: 39.1152, population: 80.0
Connected 100.0%, nodes: 100, density: 41, acv: 80.0%, degree: 23.4752, population: 80.0
Connected 100.0%, nodes: 100, density: 21, acv: 80.0%, degree: 13.124, population: 80.0
Connected 56.0%, nodes: 100, density: 11, acv: 80.0%, degree: 7.58, population: 80.0
