Connected 0.0%, nodes: 100, density: 50, acv: 30.0%, degree: 11.5504
Connected 0.0%, nodes: 100, density: 51, acv: 30.0%, degree: 11.7112
Connected 0.0%, nodes: 100, density: 74, acv: 30.0%, degree: 15.1104
Connected 0.0%, nodes: 100, density: 75, acv: 30.0%, degree: 15.2808
Connected 0.0%, nodes: 100, density: 86, acv: 30.0%, degree: 16.6464
Connected 0.0%, nodes: 100, density: 87, acv: 30.0%, degree: 16.7512
Connected 0.0%, nodes: 100, density: 92, acv: 30.0%, degree: 17.4384
Connected 0.0%, nodes: 100, density: 93, acv: 30.0%, degree: 17.5656
Connected 0.0%, nodes: 100, density: 95, acv: 30.0%, degree: 17.7608
Connected 0.0%, nodes: 100, density: 96, acv: 30.0%, degree: 17.8664
Connected 0.0%, nodes: 100, density: 97, acv: 30.0%, degree: 17.988
Connected 0.0%, nodes: 100, density: 98, acv: 30.0%, degree: 18.088
Connected 0.0%, nodes: 100, density: 99, acv: 30.0%, degree: 18.232
Connected 4.0%, nodes: 100, density: 50, acv: 40.0%, degree: 13.88
Connected 4.0%, nodes: 100, density: 51, acv: 40.0%, degree: 14.08
Connected 4.0%, nodes: 100, density: 74, acv: 40.0%, degree: 18.4624
Connected 4.0%, nodes: 100, density: 75, acv: 40.0%, degree: 18.6704
Connected 4.0%, nodes: 100, density: 86, acv: 40.0%, degree: 20.396
Connected 4.0%, nodes: 100, density: 87, acv: 40.0%, degree: 20.556
Connected 4.0%, nodes: 100, density: 92, acv: 40.0%, degree: 21.4192
Connected 4.0%, nodes: 100, density: 93, acv: 40.0%, degree: 21.5928
Connected 4.0%, nodes: 100, density: 95, acv: 40.0%, degree: 21.8696
Connected 4.0%, nodes: 100, density: 96, acv: 40.0%, degree: 22.0328
Connected 4.0%, nodes: 100, density: 97, acv: 40.0%, degree: 22.2072
Connected 4.0%, nodes: 100, density: 98, acv: 40.0%, degree: 22.348
Connected 4.0%, nodes: 100, density: 99, acv: 40.0%, degree: 22.5376
Connected 0.0%, nodes: 100, density: 50, acv: 50.0%, degree: 21.8864
Connected 0.0%, nodes: 100, density: 51, acv: 50.0%, degree: 22.1752
Connected 0.0%, nodes: 100, density: 74, acv: 50.0%, degree: 28.412
Connected 0.0%, nodes: 100, density: 75, acv: 50.0%, degree: 28.7064
Connected 0.0%, nodes: 100, density: 86, acv: 50.0%, degree: 31.0728
Connected 0.0%, nodes: 100, density: 87, acv: 50.0%, degree: 31.2784
Connected 0.0%, nodes: 100, density: 92, acv: 50.0%, degree: 32.4104
Connected 0.0%, nodes: 100, density: 93, acv: 50.0%, degree: 32.6304
